"index";"time";"minutes";"dateTime";"SDM3045X.CurrentDC";"SPD33.CH1_Voltage";"SPD33.CH1_Current";"SPD33.CH1_Power";"SPD33.CH2_Voltage";"SPD33.CH2_Current";"SPD33.CH2_Power"
180;27,121;0,4520166667;1674551312,647;0,645278166;5;0,65;3,25;0;0;0
181;27,327;0,45545;1674551312,835;0,645573232;5;0,65;3,25;0;0;0
182;27,52;0,4586666667;1674551313,021;0,645603948;5;0,65;3,25;0;0;0
183;27,72;0,462;1674551313,208;0,645861316;5;0,65;3,25;0;0;0
184;27,92;0,4653333333;1674551313,442;0,646222933;5;0,65;3,25;0;0;0
185;28,121;0,4686833333;1674551313,645;0,646440742;5;0,65;3,25;0;0;0
186;28,321;0,4720166667;1674551313,816;0,645360077;5;0,65;3,25;0;0;0
187;28,528;0,4754666667;1674551314,018;0,645433145;5;0,65;3,25;0;0;0
188;28,72;0,4786666667;1674551314,222;0,646051665;5;0,65;3,25;0;0;0
189;28,92;0,482;1674551314,425;0,52106458;5;0,57;2,85;0;0;0
190;29,121;0,48535;1674551314,643;0,521106001;5;0,57;2,85;0;0;0
191;29,32;0,4886666667;1674551314,831;0,520759742;5;0,52;2,6;0;0;0
192;29,52;0,492;1674551315,019;0,521061322;5;0,52;2,6;0;0;0
193;29,72;0,4953333333;1674551315,224;0,482037793;5;0,52;2,6;0;0;0
194;29,92;0,4986666667;1674551315,443;0,434742665;5;0,52;2,6;0;0;0
195;30,121;0,5020166667;1674551316,89;0,43494465;5;0,43;2,15;0;0;0
196;31,492;0,5248666667;1674551316,988;0,434488555;5;0,43;2,15;0;0;0
197;31,793;0,5298833333;1674551317,286;0,433907268;5;0,43;2,15;0;0;0
198;32,093;0,5348833333;1674551317,616;0,433412545;5;0,43;2,15;0;0;0
199;32,393;0,5398833333;1674551317,903;0,433393929;5;0,43;2,15;0;0;0
200;32,693;0,5448833333;1674551318,186;0,433722037;5;0,43;2,15;0;0;0
201;32,993;0,5498833333;1674551318,507;0,433460947;5;0,43;2,15;0;0;0
202;33,293;0,5548833333;1674551318,807;0,433560077;5;0,43;2,15;0;0;0
203;33,593;0,5598833333;1674551319,087;0,433753219;5;0,43;2,15;0;0;0
204;33,893;0,5648833333;1674551319,403;0,602815778;5;0,45;2,25;0;0;0
205;34,193;0,5698833333;1674551319,717;0,662583691;5;0,45;2,25;0;0;0
206;34,493;0,5748833333;1674551319,999;0,661284753;5;0,66;3,3;0;0;0
207;34,793;0,5798833333;1674551320,298;0,660163133;5;0,66;3,3;0;0;0
208;35,093;0,5848833333;1674551320,612;0,661343859;5;0,66;3,3;0;0;0
209;35,393;0,5898833333;1674551320,911;0,660456336;5;0,66;3,3;0;0;0
210;35,7;0,595;1674551321,192;0,66129313;5;0,66;3,3;0;0;0
211;35,993;0,5998833333;1674551321,506;0,661169333;5;0,66;3,3;0;0;0
212;36,293;0,6048833333;1674551321,806;0,660654132;5;0,66;3,3;0;0;0
213;36,593;0,6098833333;1674551322,087;0,661371318;5;0,66;3,3;0;0;0
214;36,893;0,6148833333;1674551322,401;0,661674295;5;0,66;3,3;0;0;0
215;37,193;0,6198833333;1674551322,718;0,66179623;5;0,66;3,3;0;0;0
216;37,494;0,6249;1674551322,986;0,661795765;5;0,66;3,3;0;0;0
217;37,793;0,6298833333;1674551323,303;0,660773741;5;0,66;3,3;0;0;0
218;38,094;0,6349;1674551323,618;0,661718973;5;0,66;3,3;0;0;0
219;38,393;0,6398833333;1674551323,884;0,661446247;5;0,66;3,3;0;0;0
220;38,693;0,6448833333;1674551324,213;0,663458648;5;0,66;3,3;0;0;0
221;38,993;0,6498833333;1674551324,495;0,662940189;5;0,66;3,3;0;0;0
222;39,293;0,6548833333;1674551324,795;0,661770633;5;0,66;3,3;0;0;0
223;39,593;0,6598833333;1674551325,107;0,66327016;5;0,66;3,3;0;0;0
224;39,894;0,6649;1674551325,407;0,661119535;5;0,66;3,3;0;0;0
225;40,193;0,6698833333;1674551325,689;0,663867271;5;0,66;3,3;0;0;0
